,event,site,date_played,white,black,result,white_elo,black_elo,winner,loser
0,Wch U16,Wattignies,1976-08-27,"Chandler, Murray G","Kasparov, Gary",1-0,,,"Chandler, Murray G","Kasparov, Gary"
1,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Galle, Andre",1-0,,,"Kasparov, Gary","Galle, Andre"
2,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Grinberg, Nir",1/2-1/2,,,draw,draw
3,Wch U16,Wattignies,1976-01-01,"Roos, Louis","Kasparov, Gary",0-1,,,"Kasparov, Gary","Roos, Louis"
4,Wch U16,Wattignies,1976-01-01,"Van der Wiel, John TH","Kasparov, Gary",1-0,,,"Van der Wiel, John TH","Kasparov, Gary"
5,Wch U16,Wattignies,1976-01-01,"Dunne, David Joseph","Kasparov, Gary",0-1,,,"Kasparov, Gary","Dunne, David Joseph"
6,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Rogers, Ian",1-0,,1865,"Kasparov, Gary","Rogers, Ian"
7,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Cramling, Pia",1/2-1/2,,,draw,draw
8,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Sendur, Adnan",1-0,,,"Kasparov, Gary","Sendur, Adnan"
9,Telechess ol1 7778,telex,1977-01-01,"Kasparov, Gary","West, Guy",1-0,,,"Kasparov, Gary","West, Guy"
10,URS-ch sf,Daugavpils,1978-01-01,"Tseshkovsky, Vitaly","Kasparov, Gary",1/2-1/2,2570,2200,draw,draw
11,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Panchenko, Alexander N",1-0,2200,2495,"Kasparov, Gary","Panchenko, Alexander N"
12,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Palatnik, Semon",1-0,,2490,"Kasparov, Gary","Palatnik, Semon"
13,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Lputian, Smbat G",1-0,2200,2200,"Kasparov, Gary","Lputian, Smbat G"
14,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Kupreichik, Viktor D",1/2-1/2,2200,2200,draw,draw
15,URS-ch sf,Daugavpils,1978-01-01,"Tseitlin, Mark D","Kasparov, Gary",0-1,2480,2200,"Kasparov, Gary","Tseitlin, Mark D"
16,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Korsunsky, Rostislav R",1-0,2200,2200,"Kasparov, Gary","Korsunsky, Rostislav R"
17,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Ivanov, Igor V",1/2-1/2,,2415,draw,draw
18,URS-ch sf,Daugavpils,1978-01-01,"Kapengut, Albert Z","Kasparov, Gary",1/2-1/2,2465,2200,draw,draw
19,URS-ch sf,Daugavpils,1978-01-01,"Alburt, Lev O","Kasparov, Gary",0-1,2510,2200,"Kasparov, Gary","Alburt, Lev O"
20,URS-ch sf,Daugavpils,1978-01-01,"Kholmov, Ratmir D","Kasparov, Gary",1-0,2540,2200,"Kholmov, Ratmir D","Kasparov, Gary"
21,URS-ch sf,Daugavpils,1978-01-01,"Nikolaevsky, Yuri V","Kasparov, Gary",1/2-1/2,2200,2200,draw,draw
22,URS-ch sf,Daugavpils,1978-01-01,"Mikhalchishin, Adrian","Kasparov, Gary",1/2-1/2,2460,2200,draw,draw
23,Minsk,Minsk,1978-01-01,"Kasparov, Gary","Lutikov, Anatoly S",1-0,,2540,"Kasparov, Gary","Lutikov, Anatoly S"
24,Moscow,Moscow,1978-01-01,"Kasparov, Gary","Butnorius, Algimantas",1-0,,,"Kasparov, Gary","Butnorius, Algimantas"
25,URS-ch46,Tbilisi,1978-01-01,"Tukmakov, Vladimir B","Kasparov, Gary",1/2-1/2,2570,,draw,draw
26,URS-ch46,Tbilisi,1978-01-01,"Tseshkovsky, Vitaly","Kasparov, Gary",1-0,2550,,"Tseshkovsky, Vitaly","Kasparov, Gary"
27,URS-ch46,Tbilisi,1978-01-01,"Geller, Efim P","Kasparov, Gary",1/2-1/2,2590,,draw,draw
28,URS-ch46,Tbilisi,1978-01-01,"Timoshchenko, Gennadi A","Kasparov, Gary",1-0,2530,,"Timoshchenko, Gennadi A","Kasparov, Gary"
29,URS-ch46,Tbilisi,1978-01-01,"Gulko, Boris F","Kasparov, Gary",1/2-1/2,2565,,draw,draw
30,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Bagirov, Vladimir",1/2-1/2,,2505,draw,draw
31,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Beliavsky, Alexander G",1-0,,2530,"Kasparov, Gary","Beliavsky, Alexander G"
32,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Dorfman, Josif D",1-0,,2550,"Kasparov, Gary","Dorfman, Josif D"
33,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Giorgadze, Tamaz",1/2-1/2,,2535,draw,draw
34,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Kuzmin, Gennadi P",1-0,,2560,"Kasparov, Gary","Kuzmin, Gennadi P"
35,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Polugaevsky, Lev",1-0,,2620,"Kasparov, Gary","Polugaevsky, Lev"
36,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Romanishin, Oleg M",1/2-1/2,,2610,draw,draw
37,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Tal, Mihail",1/2-1/2,,2625,draw,draw
38,URS-ch46,Tbilisi,1978-01-01,"Sveshnikov, Evgeny","Kasparov, Gary",1/2-1/2,2565,,draw,draw
39,URS-ch46,Tbilisi,1978-01-01,"Razuvaev, Yuri S","Kasparov, Gary",1-0,2465,,"Razuvaev, Yuri S","Kasparov, Gary"
40,URS-ch46,Tbilisi,1978-01-01,"Mikhalchishin, Adrian","Kasparov, Gary",1-0,2460,,"Mikhalchishin, Adrian","Kasparov, Gary"
41,URS-ch46,Tbilisi,1978-01-01,"Makarichev, Sergey","Kasparov, Gary",1/2-1/2,2495,,draw,draw
42,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Vukic, Milan",1-0,,2485,"Kasparov, Gary","Vukic, Milan"
43,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Bukic, Enver",1-0,,2495,"Kasparov, Gary","Bukic, Enver"
44,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Kurajica, Bojan",1/2-1/2,,2515,draw,draw
45,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Marovic, Drazen",1-0,,2470,"Kasparov, Gary","Marovic, Drazen"
46,Banja Luka,Banja Luka,1979-01-01,"Garcia Gonzales, Guillermo","Kasparov, Gary",1/2-1/2,,,draw,draw
47,Banja Luka,Banja Luka,1979-01-01,"Andersson, Ulf","Kasparov, Gary",1/2-1/2,2560,,draw,draw
48,Banja Luka,Banja Luka,1979-01-01,"Adorjan, Andras","Kasparov, Gary",1/2-1/2,2525,,draw,draw
49,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Matanovic, Aleksandar",1/2-1/2,,2495,draw,draw
50,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Marjanovic, Slavoljub",1-0,,2505,"Kasparov, Gary","Marjanovic, Slavoljub"
51,Banja Luka,Banja Luka,1979-01-01,"Smejkal, Jan","Kasparov, Gary",1/2-1/2,2550,,draw,draw
52,Banja Luka,Banja Luka,1979-01-01,"Sibarevic, Milenko","Kasparov, Gary",0-1,2355,,"Kasparov, Gary","Sibarevic, Milenko"
53,Banja Luka,Banja Luka,1979-01-01,"Knezevic, Milorad","Kasparov, Gary",0-1,2500,,"Kasparov, Gary","Knezevic, Milorad"
54,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Petrosian, Tigran V",1/2-1/2,,2610,draw,draw
55,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Browne, Walter S",1-0,,2540,"Kasparov, Gary","Browne, Walter S"
56,Banja Luka,Banja Luka,1979-01-01,"Hernandez, Roman","Kasparov, Gary",0-1,2500,,"Kasparov, Gary","Hernandez, Roman"
57,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Lerner, Konstantin Z",0-1,2545,2475,"Lerner, Konstantin Z","Kasparov, Gary"
58,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Romanishin, Oleg M",1/2-1/2,2545,2560,draw,draw
59,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Razuvaev, Yuri S",1/2-1/2,2545,2470,draw,draw
60,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Rashkovsky, Nukhim N",1/2-1/2,2545,2500,draw,draw
61,URS-ch47,Minsk,1979-01-01,"Makarichev, Sergey","Kasparov, Gary",1/2-1/2,2500,2545,draw,draw
62,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Kupreichik, Viktor D",1-0,2545,2540,"Kasparov, Gary","Kupreichik, Viktor D"
63,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Jussupow, Artur",1-0,2545,2490,"Kasparov, Gary","Jussupow, Artur"
64,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Giorgadze, Tamaz",1-0,2545,2535,"Kasparov, Gary","Giorgadze, Tamaz"
65,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Dolmatov, Sergey",1-0,2545,2495,"Kasparov, Gary","Dolmatov, Sergey"
66,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Anikaev, Yuri N",0-1,2545,2455,"Anikaev, Yuri N","Kasparov, Gary"
67,URS-ch47,Minsk,1979-01-01,"Geller, Efim P","Kasparov, Gary",1/2-1/2,2550,2545,draw,draw
68,URS-ch47,Minsk,1979-01-01,"Beliavsky, Alexander G","Kasparov, Gary",1-0,2595,2545,"Beliavsky, Alexander G","Kasparov, Gary"
69,URS-ch47,Minsk,1979-01-01,"Balashov, Yuri S","Kasparov, Gary",1/2-1/2,2600,2545,draw,draw
70,URS-ch47,Minsk,1979-01-01,"Sveshnikov, Evgeny","Kasparov, Gary",0-1,2545,2545,"Kasparov, Gary","Sveshnikov, Evgeny"
71,URS-ch47,Minsk,1979-01-01,"Tseshkovsky, Vitaly","Kasparov, Gary",1/2-1/2,2560,2545,draw,draw
72,URS-ch47,Minsk,1979-01-01,"Tal, Mihail","Kasparov, Gary",1/2-1/2,2615,2545,draw,draw
73,URS-ch47,Minsk,1979-01-01,"Vaganian, Rafael A","Kasparov, Gary",0-1,2570,2545,"Kasparov, Gary","Vaganian, Rafael A"
74,URS Spartakiad,URS,1979-01-01,"Kudriashov, Anatoli","Kasparov, Gary",0-1,2380,2200,"Kasparov, Gary","Kudriashov, Anatoli"
75,URS Spartakiad,URS,1979-01-01,"Kasparov, Gary","Polugaevsky, Lev",1-0,2200,2625,"Kasparov, Gary","Polugaevsky, Lev"
76,URS Spartakiad,URS,1979-01-01,"Kasparov, Gary","Mnatsakanian, Eduard A",1-0,2200,2425,"Kasparov, Gary","Mnatsakanian, Eduard A"
77,URS Spartakiad,URS,1979-01-01,"Kasparov, Gary","Gipslis, Aivars",1/2-1/2,2200,2525,draw,draw
78,URS Spartakiad,URS,1979-01-01,"Govbinder, Mikhail Y","Kasparov, Gary",1/2-1/2,2200,2200,draw,draw
79,URS Spartakiad,URS,1979-01-01,"Veingold, Aleksandr","Kasparov, Gary",1-0,2370,2200,"Veingold, Aleksandr","Kasparov, Gary"
80,URS Spartakiad,URS,1979-01-01,"Averkin, Orest N","Kasparov, Gary",1/2-1/2,2455,2200,draw,draw
81,Baku,Baku,1980-01-01,"Kasparov, Gary","Csom, Istvan",1-0,2595,2510,"Kasparov, Gary","Csom, Istvan"
82,Baku,Baku,1980-01-01,"Grigorian, Karen Ashotovich","Kasparov, Gary",0-1,2475,2595,"Kasparov, Gary","Grigorian, Karen Ashotovich"
83,Baku,Baku,1980-01-01,"Kasparov, Gary","Beliavsky, Alexander G",1/2-1/2,2595,2590,draw,draw
84,Baku,Baku,1980-01-01,"Gufeld, Eduard","Kasparov, Gary",1/2-1/2,2510,2595,draw,draw
85,Baku,Baku,1980-01-01,"Kasparov, Gary","Torre, Eugenio",1-0,2595,2520,"Kasparov, Gary","Torre, Eugenio"
86,Baku,Baku,1980-01-01,"Magerramov, Elmar","Kasparov, Gary",1/2-1/2,2435,2595,draw,draw
87,Baku,Baku,1980-01-01,"Kasparov, Gary","Zaitsev, Igor A",1-0,2595,2490,"Kasparov, Gary","Zaitsev, Igor A"
88,Baku,Baku,1980-01-01,"Mikhalchishin, Adrian","Kasparov, Gary",1/2-1/2,2490,2595,draw,draw
89,Baku,Baku,1980-01-01,"Kasparov, Gary","Lechtynsky, Jiri",1/2-1/2,2595,2450,draw,draw
90,Baku,Baku,1980-01-01,"Vogt, Lothar","Kasparov, Gary",1/2-1/2,2510,2595,draw,draw
91,Baku,Baku,1980-01-01,"Kasparov, Gary","Chiburdanidze, Maia",1-0,2595,2400,"Kasparov, Gary","Chiburdanidze, Maia"
92,Baku,Baku,1980-01-01,"Garcia Martinez, Silvino","Kasparov, Gary",0-1,2450,2595,"Kasparov, Gary","Garcia Martinez, Silvino"
93,Baku,Baku,1980-01-01,"Kasparov, Gary","Antoshin, Vladimir S",1-0,2595,2480,"Kasparov, Gary","Antoshin, Vladimir S"
94,Baku,Baku,1980-01-01,"Padevsky, Nikola","Kasparov, Gary",1/2-1/2,2415,2595,draw,draw
95,Baku,Baku,1980-01-01,"Kasparov, Gary","Martinovic, Slobodan",1-0,2595,2475,"Kasparov, Gary","Martinovic, Slobodan"
96,Wch U20,Dortmund,1980-01-01,"Kasparov, Gary","Cuijpers, Frans Andre",1-0,2595,,"Kasparov, Gary","Cuijpers, Frans Andre"
97,Wch U20,Dortmund,1980-01-01,"Gerbert, Philipp","Kasparov, Gary",0-1,,2595,"Kasparov, Gary","Gerbert, Philipp"
98,Wch U20,Dortmund,1980-01-01,"Kasparov, Gary","McNab, Colin Anderson",1-0,2595,,"Kasparov, Gary","McNab, Colin Anderson"
99,Wch U20,Dortmund,1980-01-01,"Negulescu, Adrian","Kasparov, Gary",1/2-1/2,,2595,draw,draw
100,Wch U20,Dortmund,1980-01-01,"Arnason, Jon L","Kasparov, Gary",0-1,2435,2595,"Kasparov, Gary","Arnason, Jon L"
101,Wch U20,Dortmund,1980-01-01,"Kasparov, Gary","Akesson, Ralf",1-0,2595,2230,"Kasparov, Gary","Akesson, Ralf"
102,Wch U20,Dortmund,1980-01-01,"Tempone, Marcelo","Kasparov, Gary",0-1,2235,2595,"Kasparov, Gary","Tempone, Marcelo"
103,Wch U20,Dortmund,1980-01-01,"Kasparov, Gary","Toro Sanchez, Bernardo",1/2-1/2,2595,2265,draw,draw
104,Wch U20,Dortmund,1980-01-01,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2360,2595,draw,draw
105,Wch U20,Dortmund,1980-01-01,"Kasparov, Gary","Hjorth, Greg",1-0,2595,,"Kasparov, Gary","Hjorth, Greg"
106,Wch U20,Dortmund,1980-01-01,"Danailov, Silvio","Kasparov, Gary",0-1,2295,2595,"Kasparov, Gary","Danailov, Silvio"
107,Wch U20,Dortmund,1980-01-01,"Kasparov, Gary","Morovic Fernandez, Ivan",1/2-1/2,2595,2380,draw,draw
108,Wch U20,Dortmund,1980-01-01,"Kasparov, Gary","Karolyi, Tibor Jr",1/2-1/2,2595,,draw,draw
109,Malta ol (Men),La Valetta,1980-01-01,"Georgiev, Krum","Kasparov, Gary",1-0,2455,2595,"Georgiev, Krum","Kasparov, Gary"
110,Malta ol (Men),La Valetta,1980-01-01,"Csom, Istvan","Kasparov, Gary",1/2-1/2,2510,2595,draw,draw
111,Malta ol (Men),La Valetta,1980-01-01,"Giardelli, Sergio C","Kasparov, Gary",0-1,2300,2595,"Kasparov, Gary","Giardelli, Sergio C"
112,Malta ol (Men),La Valetta,1980-01-01,"Hansen, Curt","Kasparov, Gary",1/2-1/2,2200,2595,draw,draw
113,Malta ol (Men),La Valetta,1980-01-01,"Kasparov, Gary","Ghitescu, Theodor",1/2-1/2,2595,2460,draw,draw
114,Malta ol (Men),La Valetta,1980-01-01,"Kasparov, Gary","Ligterink, Gert",1-0,2595,2455,"Kasparov, Gary","Ligterink, Gert"
115,Malta ol (Men),La Valetta,1980-01-01,"Kasparov, Gary","Marjanovic, Slavoljub",1-0,2595,2490,"Kasparov, Gary","Marjanovic, Slavoljub"
116,Malta ol (Men),La Valetta,1980-01-01,"Kasparov, Gary","Natsis, Trifon",1-0,2595,2240,"Kasparov, Gary","Natsis, Trifon"
117,Malta ol (Men),La Valetta,1980-01-01,"Kasparov, Gary","Petursson, Margeir",1-0,2595,2425,"Kasparov, Gary","Petursson, Margeir"
118,Malta ol (Men),La Valetta,1980-01-01,"Kasparov, Gary","Speelman, Jonathan S",1-0,2595,2490,"Kasparov, Gary","Speelman, Jonathan S"
119,Malta ol (Men),La Valetta,1980-01-01,"Shamkovich, Leonid","Kasparov, Gary",0-1,2515,2595,"Kasparov, Gary","Shamkovich, Leonid"
120,Malta ol (Men),La Valetta,1980-01-01,"Rott, Georg","Kasparov, Gary",0-1,2200,2595,"Kasparov, Gary","Rott, Georg"
121,EU-chT,Skara,1980-01-01,"Webb, Simon","Kasparov, Gary",0-1,2425,2595,"Kasparov, Gary","Webb, Simon"
122,EU-chT,Skara,1980-01-01,"Kasparov, Gary","Pinter, Jozsef",1/2-1/2,2595,2535,draw,draw
123,EU-chT,Skara,1980-01-01,"Renman, Nils Gustaf","Kasparov, Gary",0-1,2425,2595,"Kasparov, Gary","Renman, Nils Gustaf"
124,EU-chT,Skara,1980-01-01,"Spiridonov, Nikola","Kasparov, Gary",0-1,2470,2595,"Kasparov, Gary","Spiridonov, Nikola"
125,EU-chT,Skara,1980-01-01,"Kasparov, Gary","Pribyl, Josef",1-0,2595,2395,"Kasparov, Gary","Pribyl, Josef"
126,EU-chT,Skara,1980-01-01,"Kasparov, Gary","Vukic, Milan",1-0,2595,2460,"Kasparov, Gary","Vukic, Milan"
127,URS-ch49,Frunze,1981-01-01,"Tukmakov, Vladimir B","Kasparov, Gary",0-1,2480,2630,"Kasparov, Gary","Tukmakov, Vladimir B"
128,URS-ch49,Frunze,1981-01-01,"Romanishin, Oleg M","Kasparov, Gary",1/2-1/2,2590,2630,draw,draw
129,URS-ch49,Frunze,1981-01-01,"Psakhis, Lev","Kasparov, Gary",1-0,2535,2630,"Psakhis, Lev","Kasparov, Gary"
130,URS-ch49,Frunze,1981-01-01,"Mikhalchishin, Adrian","Kasparov, Gary",0-1,2545,2630,"Kasparov, Gary","Mikhalchishin, Adrian"
131,URS-ch49,Frunze,1981-01-01,"Kuzmin, Gennadi P","Kasparov, Gary",1/2-1/2,2550,2630,draw,draw
132,URS-ch49,Frunze,1981-01-01,"Yudasin, Leonid","Kasparov, Gary",0-1,2345,2630,"Kasparov, Gary","Yudasin, Leonid"
133,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Timoshchenko, Gennadi A",1-0,2630,2505,"Kasparov, Gary","Timoshchenko, Gennadi A"
134,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Sveshnikov, Evgeny",1/2-1/2,2630,2545,draw,draw
135,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Kupreichik, Viktor D",1/2-1/2,2630,2580,draw,draw
136,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Jussupow, Artur",1-0,2630,2585,"Kasparov, Gary","Jussupow, Artur"
137,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Gavrikov, Viktor",1-0,2630,2365,"Kasparov, Gary","Gavrikov, Viktor"
138,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Dorfman, Josif D",1-0,2630,2505,"Kasparov, Gary","Dorfman, Josif D"
139,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Dolmatov, Sergey",1-0,2630,2575,"Kasparov, Gary","Dolmatov, Sergey"
140,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Beliavsky, Alexander G",1-0,2630,2615,"Kasparov, Gary","Beliavsky, Alexander G"
141,URS-ch49,Frunze,1981-01-01,"Kasparov, Gary","Agzamov, Georgy",1/2-1/2,2630,2435,draw,draw
142,URS-ch49,Frunze,1981-01-01,"Gulko, Boris F","Kasparov, Gary",1-0,2565,2630,"Gulko, Boris F","Kasparov, Gary"
143,URS-ch49,Frunze,1981-01-01,"Tseshkovsky, Vitaly","Kasparov, Gary",0-1,2575,2630,"Kasparov, Gary","Tseshkovsky, Vitaly"
144,WchT U26,Graz,1981-01-01,"Kasparov, Gary","Morrison, Graham",1-0,2630,,"Kasparov, Gary","Morrison, Graham"
145,WchT U26,Graz,1981-01-01,"Sunye Neto, Jaime","Kasparov, Gary",0-1,2475,2630,"Kasparov, Gary","Sunye Neto, Jaime"
146,WchT U26,Graz,1981-01-01,"Schussler, Harry","Kasparov, Gary",0-1,,2630,"Kasparov, Gary","Schussler, Harry"
147,WchT U26,Graz,1981-01-01,"Kasparov, Gary","Duer, Arne",1-0,2630,,"Kasparov, Gary","Duer, Arne"
148,WchT U26,Graz,1981-01-01,"Kasparov, Gary","Fedorowicz, John P",1-0,2630,2455,"Kasparov, Gary","Fedorowicz, John P"
149,WchT U26,Graz,1981-01-01,"Kasparov, Gary","Groszpeter, Attila",1/2-1/2,2630,,draw,draw
150,WchT U26,Graz,1981-01-01,"Kasparov, Gary","Kouatly, Bachar",1/2-1/2,2630,,draw,draw
151,WchT U26,Graz,1981-01-01,"Speelman, Jonathan S","Kasparov, Gary",0-1,2550,2630,"Kasparov, Gary","Speelman, Jonathan S"
152,WchT U26,Graz,1981-01-01,"Kasparov, Gary","Van der Wiel, John TH",1-0,2630,,"Kasparov, Gary","Van der Wiel, John TH"
153,WchT U26,Graz,1981-01-01,"Klaric, Zlatko","Kasparov, Gary",0-1,2450,2630,"Kasparov, Gary","Klaric, Zlatko"
154,Moscow exh m,Moscow,1981-01-01,Nikitin/Sakarov,"Kasparov, Gary",0-1,,2625,"Kasparov, Gary",Nikitin/Sakarov
155,Moscow exh m,Moscow,1981-01-01,"Kasparov, Gary",Nikitin/Sakarov,1-0,2625,,"Kasparov, Gary",Nikitin/Sakarov
156,Moscow exh m,Moscow,1981-01-01,"Kasparov, Gary","Nikitin, Aleksander S",1/2-1/2,2625,,draw,draw
157,Moscow,Moscow,1981-01-01,"Kasparov, Gary","Petrosian, Tigran V",0-1,2625,2585,"Petrosian, Tigran V","Kasparov, Gary"
158,Moscow,Moscow,1981-01-01,"Polugaevsky, Lev","Kasparov, Gary",1/2-1/2,2620,2625,draw,draw
159,Moscow,Moscow,1981-01-01,"Kasparov, Gary","Torre, Eugenio",1-0,2625,2550,"Kasparov, Gary","Torre, Eugenio"
160,Moscow,Moscow,1981-01-01,"Kasparov, Gary","Balashov, Yuri S",1/2-1/2,2625,2600,draw,draw
161,Moscow,Moscow,1981-01-01,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,2625,2690,draw,draw
162,Moscow,Moscow,1981-01-01,"Kasparov, Gary","Gheorghiu, Florin",1/2-1/2,2625,2605,draw,draw
163,Moscow,Moscow,1981-01-01,"Kasparov, Gary","Andersson, Ulf",1/2-1/2,2625,2610,draw,draw
164,Moscow,Moscow,1981-01-01,"Geller, Efim P","Kasparov, Gary",0-1,2615,2625,"Kasparov, Gary","Geller, Efim P"
165,Moscow,Moscow,1981-01-01,"Beliavsky, Alexander G","Kasparov, Gary",0-1,2620,2625,"Kasparov, Gary","Beliavsky, Alexander G"
166,Moscow1,Moscow,1981-01-01,"Grigorian, Karen Ashotovich","Kasparov, Gary",1/2-1/2,2435,2630,draw,draw
167,Moscow1,Moscow,1981-01-01,"Kasparov, Gary","Ivanov, Alexander",1-0,2625,,"Kasparov, Gary","Ivanov, Alexander"
168,Moscow1,Moscow,1981-01-01,"Kasparov, Gary","Palatnik, Semon",1-0,2625,2480,"Kasparov, Gary","Palatnik, Semon"
169,Moscow1,Moscow,1981-01-01,"Kasparov, Gary","Yurtaev, Leonid",1-0,2630,2380,"Kasparov, Gary","Yurtaev, Leonid"
170,Moscow1,Moscow,1981-01-01,"Rashkovsky, Nukhim N","Kasparov, Gary",1/2-1/2,2535,2625,draw,draw
171,Moscow1,Moscow,1981-01-01,"Sluckij, Leonid","Kasparov, Gary",1/2-1/2,,2625,draw,draw
172,Moscow1,Moscow,1981-01-01,"Vaganian, Rafael A","Kasparov, Gary",1/2-1/2,2570,2630,draw,draw
173,Moscow1,Moscow,1981-01-01,"Vaisser, Anatoli","Kasparov, Gary",0-1,2385,2630,"Kasparov, Gary","Vaisser, Anatoli"
174,Moscow,Moscow,1981-01-01,"Portisch, Lajos","Kasparov, Gary",1/2-1/2,2650,2625,draw,draw
175,Moscow,Moscow,1981-01-01,"Smejkal, Jan","Kasparov, Gary",1/2-1/2,2535,2625,draw,draw
176,Moscow,Moscow,1981-01-01,"Smyslov, Vassily","Kasparov, Gary",1/2-1/2,2545,2625,draw,draw
177,Moscow,Moscow,1981-01-01,"Timman, Jan H","Kasparov, Gary",1/2-1/2,2620,2625,draw,draw
178,Moscow-4teams,Moscow,1981-01-01,"Smyslov, Vassily","Kasparov, Gary",0-1,2545,2625,"Kasparov, Gary","Smyslov, Vassily"
179,Moscow-4teams,Moscow,1981-01-01,"Romanishin, Oleg M","Kasparov, Gary",1-0,2595,2625,"Romanishin, Oleg M","Kasparov, Gary"
180,Moscow-4teams,Moscow,1981-01-01,"Karpov, Anatoly","Kasparov, Gary",1/2-1/2,2690,2625,draw,draw
181,Moscow-4teams,Moscow,1981-01-01,"Kasparov, Gary","Smyslov, Vassily",1-0,2625,2580,"Kasparov, Gary","Smyslov, Vassily"
182,Moscow-4teams,Moscow,1981-01-01,"Kasparov, Gary","Karpov, Anatoly",1/2-1/2,2625,2690,draw,draw
183,Moscow-4teams,Moscow,1981-01-01,"Kasparov, Gary","Romanishin, Oleg M",1-0,2625,2590,"Kasparov, Gary","Romanishin, Oleg M"
184,Tilburg,Tilburg,1981-01-01,"Kasparov, Gary","Beliavsky, Alexander G",1/2-1/2,2630,2615,draw,draw
185,Tilburg,Tilburg,1981-01-01,"Kasparov, Gary","Andersson, Ulf",1-0,2630,2600,"Kasparov, Gary","Andersson, Ulf"
186,Tilburg,Tilburg,1981-01-01,"Ljubojevic, Ljubomir","Kasparov, Gary",1/2-1/2,2590,2630,draw,draw
187,Tilburg,Tilburg,1981-01-01,"Miles, Anthony J","Kasparov, Gary",1/2-1/2,2565,2630,draw,draw
188,Tilburg,Tilburg,1981-01-01,"Kasparov, Gary","Larsen, Bent",1/2-1/2,2630,2610,draw,draw
189,Tilburg,Tilburg,1981-01-01,"Portisch, Lajos","Kasparov, Gary",1/2-1/2,2620,2630,draw,draw
190,Tilburg,Tilburg,1981-01-01,"Timman, Jan H","Kasparov, Gary",1-0,2630,2630,"Timman, Jan H","Kasparov, Gary"
191,Tilburg,Tilburg,1981-01-01,"Kasparov, Gary","Petrosian, Tigran V",0-1,2630,2585,"Petrosian, Tigran V","Kasparov, Gary"
192,Tilburg,Tilburg,1981-01-01,"Kasparov, Gary","Sosonko, Gennadi",1-0,2630,2585,"Kasparov, Gary","Sosonko, Gennadi"
193,Tilburg,Tilburg,1981-01-01,"Huebner, Robert","Kasparov, Gary",0-1,2640,2630,"Kasparov, Gary","Huebner, Robert"
194,Tilburg,Tilburg,1981-01-01,"Kasparov, Gary","Spassky, Boris V",0-1,2630,2630,"Spassky, Boris V","Kasparov, Gary"
195,Bugojno,Bugojno,1982-01-01,"Timman, Jan H","Kasparov, Gary",1/2-1/2,2625,2630,draw,draw
196,Bugojno,Bugojno,1982-01-01,"Kasparov, Gary","Larsen, Bent",1-0,2690,2555,"Kasparov, Gary","Larsen, Bent"
